match_id,fase,grupo,matchday,slot_local,slot_visita,local,visita
A-MD1-1,grupos,A,1,A1,A2,MEX,RSA
A-MD1-2,grupos,A,1,A3,A4,KOR,CZE
A-MD2-1,grupos,A,2,A1,A3,MEX,KOR
A-MD2-2,grupos,A,2,A4,A2,CZE,RSA
A-MD3-1,grupos,A,3,A4,A1,CZE,MEX
A-MD3-2,grupos,A,3,A2,A3,RSA,KOR
B-MD1-1,grupos,B,1,B1,B2,CAN,BIH
B-MD1-2,grupos,B,1,B3,B4,QAT,SUI
B-MD2-1,grupos,B,2,B1,B3,CAN,QAT
B-MD2-2,grupos,B,2,B4,B2,SUI,BIH
B-MD3-1,grupos,B,3,B4,B1,SUI,CAN
B-MD3-2,grupos,B,3,B2,B3,BIH,QAT
C-MD1-1,grupos,C,1,C1,C2,BRA,MAR
C-MD1-2,grupos,C,1,C3,C4,HAI,SCO
C-MD2-1,grupos,C,2,C1,C3,BRA,HAI
C-MD2-2,grupos,C,2,C4,C2,SCO,MAR
C-MD3-1,grupos,C,3,C4,C1,SCO,BRA
C-MD3-2,grupos,C,3,C2,C3,MAR,HAI
D-MD1-1,grupos,D,1,D1,D2,USA,PAR
D-MD1-2,grupos,D,1,D3,D4,AUS,TUR
D-MD2-1,grupos,D,2,D1,D3,USA,AUS
D-MD2-2,grupos,D,2,D4,D2,TUR,PAR
D-MD3-1,grupos,D,3,D4,D1,TUR,USA
D-MD3-2,grupos,D,3,D2,D3,PAR,AUS
E-MD1-1,grupos,E,1,E1,E2,GER,CUW
E-MD1-2,grupos,E,1,E3,E4,CIV,ECU
E-MD2-1,grupos,E,2,E1,E3,GER,CIV
E-MD2-2,grupos,E,2,E4,E2,ECU,CUW
E-MD3-1,grupos,E,3,E4,E1,ECU,GER
E-MD3-2,grupos,E,3,E2,E3,CUW,CIV
F-MD1-1,grupos,F,1,F1,F2,NED,JPN
F-MD1-2,grupos,F,1,F3,F4,SWE,TUN
F-MD2-1,grupos,F,2,F1,F3,NED,SWE
F-MD2-2,grupos,F,2,F4,F2,TUN,JPN
F-MD3-1,grupos,F,3,F4,F1,TUN,NED
F-MD3-2,grupos,F,3,F2,F3,JPN,SWE
G-MD1-1,grupos,G,1,G1,G2,BEL,EGY
G-MD1-2,grupos,G,1,G3,G4,IRN,NZL
G-MD2-1,grupos,G,2,G1,G3,BEL,IRN
G-MD2-2,grupos,G,2,G4,G2,NZL,EGY
G-MD3-1,grupos,G,3,G4,G1,NZL,BEL
G-MD3-2,grupos,G,3,G2,G3,EGY,IRN
H-MD1-1,grupos,H,1,H1,H2,ESP,CPV
H-MD1-2,grupos,H,1,H3,H4,KSA,URU
H-MD2-1,grupos,H,2,H1,H3,ESP,KSA
H-MD2-2,grupos,H,2,H4,H2,URU,CPV
H-MD3-1,grupos,H,3,H4,H1,URU,ESP
H-MD3-2,grupos,H,3,H2,H3,CPV,KSA
I-MD1-1,grupos,I,1,I1,I2,FRA,SEN
I-MD1-2,grupos,I,1,I3,I4,IRQ,NOR
I-MD2-1,grupos,I,2,I1,I3,FRA,IRQ
I-MD2-2,grupos,I,2,I4,I2,NOR,SEN
I-MD3-1,grupos,I,3,I4,I1,NOR,FRA
I-MD3-2,grupos,I,3,I2,I3,SEN,IRQ
J-MD1-1,grupos,J,1,J1,J2,ARG,ALG
J-MD1-2,grupos,J,1,J3,J4,AUT,JOR
J-MD2-1,grupos,J,2,J1,J3,ARG,AUT
J-MD2-2,grupos,J,2,J4,J2,JOR,ALG
J-MD3-1,grupos,J,3,J4,J1,JOR,ARG
J-MD3-2,grupos,J,3,J2,J3,ALG,AUT
K-MD1-1,grupos,K,1,K1,K2,POR,COD
K-MD1-2,grupos,K,1,K3,K4,UZB,COL
K-MD2-1,grupos,K,2,K1,K3,POR,UZB
K-MD2-2,grupos,K,2,K4,K2,COL,COD
K-MD3-1,grupos,K,3,K4,K1,COL,POR
K-MD3-2,grupos,K,3,K2,K3,COD,UZB
L-MD1-1,grupos,L,1,L1,L2,ENG,CRO
L-MD1-2,grupos,L,1,L3,L4,GHA,PAN
L-MD2-1,grupos,L,2,L1,L3,ENG,GHA
L-MD2-2,grupos,L,2,L4,L2,PAN,CRO
L-MD3-1,grupos,L,3,L4,L1,PAN,ENG
L-MD3-2,grupos,L,3,L2,L3,CRO,GHA
