match_no,local,visita,gl,gv
1,MEX,RSA,1,0
2,KOR,CZE,0,1
3,CAN,BIH,0,2
4,USA,PAR,1,2
5,QAT,SUI,0,1
6,BRA,MAR,2,1
7,HAI,SCO,0,1
8,AUS,TUR,1,2
9,GER,CUW,3,1
10,NED,JPN,3,1
11,CIV,ECU,1,2
12,SWE,TUN,1,1
13,ESP,CPV,3,0
14,BEL,EGY,2,1
15,KSA,URU,1,2
16,IRN,NZL,2,0
17,FRA,SEN,2,0
18,IRQ,NOR,1,3
19,ARG,ALG,2,1
20,AUT,JOR,1,1
21,POR,COD,2,0
22,ENG,CRO,1,1
23,GHA,PAN,1,1
24,UZB,COL,0,3
25,CZE,RSA,2,1
26,SUI,BIH,1,1
27,CAN,QAT,1,1
28,MEX,KOR,1,1
29,USA,AUS,2,1
30,SCO,MAR,0,1
31,BRA,HAI,3,0
32,TUR,PAR,1,1
33,NED,SWE,2,0
34,GER,CIV,2,1
35,ECU,CUW,1,0
36,TUN,JPN,1,2
37,ESP,KSA,3,0
38,BEL,IRN,2,1
39,URU,CPV,1,0
40,NZL,EGY,1,2
41,ARG,AUT,2,0
42,FRA,IRQ,2,1
43,NOR,SEN,1,1
44,JOR,ALG,1,2
45,POR,UZB,2,0
46,ENG,GHA,2,0
47,PAN,CRO,0,1
48,COL,COD,3,1
49,SUI,CAN,1,0
50,BIH,QAT,2,0
51,SCO,BRA,1,2
52,MAR,HAI,2,0
53,CZE,MEX,2,1
54,RSA,KOR,0,0
55,CUW,CIV,1,2
56,ECU,GER,1,2
57,JPN,SWE,1,1
58,TUN,NED,1,2
59,TUR,USA,1,2
60,PAR,AUS,1,1
61,NOR,FRA,1,2
62,SEN,IRQ,1,1
63,CPV,KSA,1,1
64,URU,ESP,1,2
65,EGY,IRN,1,1
66,NZL,BEL,1,4
67,PAN,ENG,1,2
68,CRO,GHA,2,0
69,COL,POR,1,1
70,COD,UZB,0,0
71,ALG,AUT,1,1
72,JOR,ARG,1,3
